Product_Collection,Vertical_Segment,Processor_Number,Status,Launch_Date,Lithography,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Max_Turbo_Frequency,Cache,Bus_Speed,TDP,Embedded_Options_Available,Conflict_Free,Max_Memory_Size,Memory_Types,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth,ECC_Memory_Supported,Processor_Graphics_,Graphics_Base_Frequency,Graphics_Max_Dynamic_Frequency,Graphics_Video_Max_Memory,Graphics_Output,Support_4k,Max_Resolution_HDMI,Max_Resolution_DP,Max_Resolution_eDP_Integrated_Flat_Panel,DirectX_Support,OpenGL_Support,PCI_Express_Revision,PCI_Express_Configurations_,Max_nb_of_PCI_Express_Lanes,T,Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Intel_64_,Instruction_Set,Instruction_Set_Extensions,Idle_States,Thermal_Monitoring_Technologies,Secure_Key,Execute_Disable_Bit
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,,130 nm,N/A,1,,900 MHz,,256 KB L2,100 MHz FSB,23.2 W,Yes,,,,,,,,,,,,,,,,,,,,,75°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Server,,End of Interactive Support,,130 nm,N/A,1,,1.40 GHz,,512 KB L2,133 MHz FSB,32.2 W,Yes,,,,,,,,,,,,,,,,,,,,,69°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,,90 nm,N/A,1,,3.80 GHz,,1 MB,800 MHz FSB,65 W,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,Q1'02,130 nm,N/A,1,,2.50 GHz,,512 KB L2,400 MHz FSB,61 W,No,,,,,,,,,,,,,,,,,,,,,72°C,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Server,,End of Interactive Support,,130 nm,N/A,1,,1.00 GHz,,512 KB L2,133 MHz FSB,12.1 W,Yes,,,,,,,,,,,,,,,,,,,,,100°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Mobile,745A,End of Interactive Support,Q2'04,90 nm,N/A,1,,1.80 GHz,,2 MB L2,400 MHz FSB,21 W,No,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,Yes
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,Q1'00,180 nm,N/A,1,,850 MHz,,256 KB L2,100 MHz FSB,22.5 W,Yes,,,,,,,,,,,,,,,,,,,,,80°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Desktop,550,End of Interactive Support,Q2'04,90 nm,N/A,1,,3.40 GHz,,1 MB L2,800 MHz FSB,115 W,No,,,,,,,,,,,,,,,,,,,,,72.8°C,Yes,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Desktop,920,End of Interactive Support,Q1'06,65 nm,N/A,2,,2.80 GHz,,4 MB,800 MHz FSB,95 W,No,,,,,,,,,,,,,,,,,,,,,63.4°C,,No,Yes,64-bit,,Yes,No,,Yes
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,Q1'02,130 nm,N/A,1,,2.40 GHz,,512 KB L2,400 MHz FSB,59.8 W,No,,,,,,,,,,,,,,,,,,,,,71°C,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,,180 nm,N/A,1,,933 MHz,,256 KB L2,133 MHz FSB,27.3 W,Yes,,,,,,,,,,,,,,,,,,,,,77°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Mobile,745,End of Interactive Support,Q2'04,90 nm,N/A,1,,1.80 GHz,,2 MB L2,400 MHz FSB,7.5 W,Yes,,,,,,,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,Yes
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,,180 nm,N/A,1,,800 MHz,,256 KB L2,100 MHz FSB,20.8 W,Yes,,,,,,,,,,,,,,,,,,,,,80°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,Q1'04,90 nm,N/A,1,,3.40 GHz,,1 MB L2,800 MHz FSB,103 W,No,,,,,,,,,,,,,,,,,,,,,73.5°C,Yes,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Desktop,541,End of Interactive Support,Q3'04,90 nm,N/A,1,,3.20 GHz,,1 MB L2,800 MHz FSB,84 W,No,,,,,,,,,,,,,,,,,,,,,67.7°C,Yes,No,Yes,64-bit,,Yes,,,Yes
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,Q1'02,130 nm,N/A,1,,2.20 GHz,,512 KB L2,400 MHz FSB,57.1 W,No,,,,,,,,,,,,,,,,,,,,,70°C,No,No,No,32-bit,,No,,,No
Intel® Pentium® Processor 1000 Series,Mobile,A1018,End of Life,Q3'13,22 nm,N/A,2,2,2.10 GHz,,1 MB SmartCache,5 GT/s DMI,35 W,No,Yes,32 GB,DDR3/L/-RS 1333/1600,2,25.6 GB/s,No,,650 MHz,1.00 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 & 2x4",1,105C,No,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,,Yes
Intel® Pentium® Processor 1000 Series,Mobile,A1020,Launched,Q1'16,22 nm,$86.00 ,4,4,2.41 GHz,,2 MB L2,,10 W,No,Yes,8 GB,DDR3L 1333,2,21.3 GB/s,No,,688 MHz,896 MHz,,,,,,,11.2,,2,"X4, X2, X1",4,105°C,No,Yes,Yes,64-bit,,Yes,,,Yes
Intel® Pentium® Processor 1000 Series,Server,1405,End of Life,Q2'12,32 nm,N/A,2,2,1.20 GHz,1.80 GHz,5 MB SmartCache,0 GT/s QPI,40 W,Yes,,375 GB,DDR3 800/1066 ,2,25 GB/s,Yes,,,,,,,,,,,,3,,24,,No,Yes,Yes,64-bit,AVX,Yes,Yes,,Yes
Intel® Pentium® Processor 1000 Series,Embedded,1405V2,Launched,Q1'14,22 nm,$156.00 ,2,2,1.40 GHz,,6 MB SmartCache,0 GT/s,40 W,Yes,Yes,384 GB,DDR3 800/1066/1333 ,2,38.4 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",24,80°C,,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,,130 nm,N/A,1,,1.40 GHz,,512 KB L2,400 MHz FSB,20.8 W,No,,,,,,,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Desktop,G620,End of Life,Q2'11,32 nm,$64.00 ,2,2,2.60 GHz,,3 MB SmartCache,5 GT/s DMI,65 W,No,,32 GB,DDR3 1066,2,17 GB/s,,,850 MHz,1.10 GHz,,,,,,,,,2,,,69.1°C,No,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Mobile,740,End of Interactive Support,,90 nm,N/A,1,,1.73 GHz,,2 MB L2,533 MHz FSB,27 W,No,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,Yes
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,Q1'00,180 nm,N/A,1,,866 MHz,,256 KB L2,133 MHz FSB,26.1 W,Yes,,,,,,,,,,,,,,,,,,,,,80°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,,180 nm,N/A,1,,750 MHz,,256 KB L2,100 MHz FSB,19.5 W,Yes,,,,,,,,,,,,,,,,,,,,,80°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,,130 nm,N/A,1,,3.40 GHz,,512 KB L2,800 MHz FSB,89 W,Yes,,,,,,,,,,,,,,,,,,,,,68°C,Yes,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Desktop,540J,End of Interactive Support,Q4'05,90 nm,N/A,1,,3.20 GHz,,1 MB L2,800 MHz FSB,84 W,Yes,,,,,,,,,,,,,,,,,,,,,67.7°C,Yes,No,,32-bit,,Yes,,,Yes
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,Q1'02,130 nm,N/A,1,,2.00 GHz,,512 KB L2,400 MHz FSB,54.3 W,Yes,,,,,,,,,,,,,,,,,,,,,69°C,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,,180 nm,N/A,1,,600 MHz,,256 KB L2,100 MHz FSB,9.7 W,Yes,,,,,,,,,,,,,,,,,,,,,100°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,,130 nm,N/A,1,,1.50 GHz,,512 KB L2,400 MHz FSB,25.8 W,No,,,,,,,,,,,,,,,,,,,,,"100°C,100°C",No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Desktop,G620T,End of Life,Q2'11,32 nm,$70.00 - $77.00,2,2,2.20 GHz,,3 MB SmartCache,5 GT/s DMI,35 W,No,,32 GB,DDR3 1066,2,17 GB/s,,,650 MHz,1.10 GHz,,,,,,,,,2,,,65.0°C,No,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,,130 nm,N/A,1,,900 MHz,,1 MB L2,400 MHz FSB,7 W,No,,,,,,No,,,,,,,,,,,,,,,100°C ,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,,180 nm,N/A,1,,800 MHz,,256 KB L2,133 MHz FSB,20.8 W,Yes,,,,,,,,,,,,,,,,,,,,,80°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,Q1'00,180 nm,N/A,1,,700 MHz,,256 KB L2,100 MHz FSB,18.3 W,Yes,,,,,,,,,,,,,,,,,,,,,80°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,Q1'04,90 nm,N/A,1,,3.40 GHz,,1 MB L2,800 MHz FSB,103 W,No,,,,,,,,,,,,,,,,,,,,,73.5°C,Yes,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Desktop,672,End of Interactive Support,Q4'05,90 nm,N/A,1,,3.80 GHz,,2 MB L2,800 MHz FSB,115 W,No,,,,,,,,,,,,,,,,,,,,,70.8°C,Yes,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Desktop,540,End of Interactive Support,Q2'04,90 nm,N/A,1,,3.20 GHz,,1 MB L2,800 MHz FSB,84 W,No,,,,,,,,,,,,,,,,,,,,,67.7°C,Yes,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,,180 nm,N/A,1,,2.00 GHz,,256 KB L2,400 MHz FSB,71.8 W,No,,,,,,,,,,,,,,,,,,,,,74°C,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,,130 nm,N/A,1,,1.60 GHz,,512 KB L2,400 MHz FSB,26.9 W,No,,,,,,,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Embedded,B915C,Launched,Q2'12,,$168.00 ,2,4,1.50 GHz,,3 MB L3,,15 W,Yes,Yes,32 GB,DDR3 1066/1333,2,21.3 GB/s,Yes,,,,,,,,,,,,2,1x16 1x4 or 2x8 1x4 or 1x8 3x4,20,100°C,Yes,Yes,Yes,64-bit,"AVX, AES-NI",Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Desktop,G840,End of Life,Q2'11,32 nm,$75.00 ,2,2,2.80 GHz,,3 MB SmartCache,5 GT/s DMI,65 W,No,,32 GB,DDR3 1066/1333,2,21 GB/s,,,850 MHz,1.10 GHz,,,,,,,,,2,,,69.1°C,No,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Desktop,G622,End of Life,Q2'11,32 nm,N/A,2,2,2.60 GHz,,3 MB SmartCache,5 GT/s DMI,65 W,No,,32 GB,DDR3 1066,2,17 GB/s,,,850 MHz,1.10 GHz,,,,,,,,,2,,,69.1°C,No,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,,130 nm,N/A,1,,1.00 GHz,,1 MB L2,400 MHz FSB,7 W,No,,,,,,No,,,,,,,,,,,,,,,100°C ,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Mobile,735,End of Interactive Support,,90 nm,N/A,1,,1.70 GHz,,2 MB L2,400 MHz FSB,7.5 W,No,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,Q1'00,180 nm,N/A,1,,733 MHz,,256 KB L2,133 MHz FSB,22.8 W,Yes,,,,,,,,,,,,,,,,,,,,,80°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,,180 nm,N/A,1,,650 MHz,,256 KB L2,100 MHz FSB,17 W,Yes,,,,,,,,,,,,,,,,,,,,,82°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,Q1'04,90 nm,N/A,1,,3.20 GHz,,1 MB L2,800 MHz FSB,103 W,No,,,,,,,,,,,,,,,,,,,,,73.5°C,Yes,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Desktop,670,End of Interactive Support,Q2'05,90 nm,N/A,1,,3.80 GHz,,2 MB L2,800 MHz FSB,115 W,No,,,,,,,,,,,,,,,,,,,,,70.8°C,Yes,No,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Desktop,531,End of Interactive Support,Q2'04,90 nm,N/A,1,,3.00 GHz,,1 MB L2,800 MHz FSB,84 W,Yes,,,,,,,,,,,,,,,,,,,,,67.7°C,Yes,No,Yes,64-bit,,Yes,,,Yes
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,Q1'02,130 nm,N/A,1,,1.70 GHz,,512 KB L2,400 MHz FSB,30 W,Yes,,,,,,,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Embedded,B925C,Launched,Q4'13,,N/A,2,4,2.00 GHz,,4 MB L3,,15 W,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,
Legacy Intel® Pentium® Processor,Desktop,G850,Launched,Q2'11,32 nm,$67.00 - $75.00,2,2,2.90 GHz,,3 MB SmartCache,5 GT/s DMI,65 W,Yes,Yes,32 GB,DDR3 1066/1333,2,21 GB/s,,,850 MHz,1.10 GHz,,,,,,,,,2,,,69.1°C,No,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Desktop,G630,End of Life,Q3'11,32 nm,$64.00 ,2,2,2.70 GHz,,3 MB SmartCache,5 GT/s DMI,65 W,No,,32 GB,DDR3 1066,2,17 GB/s,,,850 MHz,1.10 GHz,,,,,,,,,2,,,69.1°C,No,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,,180 nm,N/A,1,,667 MHz,,256 KB L2,133 MHz FSB,17.5 W,Yes,,,,,,,,,,,,,,,,,,,,,82°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,,250 nm,N/A,1,,600 MHz,,512 KB L2,100 MHz FSB,34.5 W,No,,,,,,,,,,,,,,,,,,,,,85°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,,130 nm,N/A,1,,3.20 GHz,,512 KB L2,800 MHz FSB,82 W,Yes,,,,,,,,,,,,,,,,,,,,,70°C,Yes,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Desktop,530J,End of Interactive Support,Q4'04,90 nm,N/A,1,,3.00 GHz,,1 MB L2,800 MHz FSB,84 W,Yes,,,,,,,,,,,,,,,,,,,,,67.7°C,Yes,No,,32-bit,,Yes,,,Yes
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,,90 nm,N/A,1,,2.80 GHz,,1 MB,533 MHz FSB,103 W,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,,180 nm,N/A,1,,1.90 GHz,,256 KB L2,400 MHz FSB,69.2 W,No,,,,,,,,,,,,,,,,,,,,,73°C,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,,180 nm,N/A,1,,900 MHz,,256 KB L2,100 MHz FSB,30.7 W,Yes,,,,,,,,,,,,,,,,,,,,,100°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,,130 nm,N/A,1,,933 MHz,,512 KB L2,133 MHz FSB,20.1 W,Yes,,,,,,,,,,,,,,,,,,,,,100°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,,130 nm,N/A,1,,1.80 GHz,,512 KB L2,400 MHz FSB,30 W,No,,,,,,,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Desktop,G860,End of Life,Q3'11,32 nm,$75.00 ,2,2,3.00 GHz,,3 MB SmartCache,5 GT/s DMI,65 W,No,,32 GB,DDR3 1066/1333,2,21 GB/s,,,850 MHz,1.10 GHz,,,,,,,,,2,,,69.1°C,No,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Desktop,G630T,End of Life,Q3'11,32 nm,$72.00 ,2,2,2.30 GHz,,3 MB SmartCache,5 GT/s DMI,35 W,No,,32 GB,DDR3 1066,2,17 GB/s,,,650 MHz,1.10 GHz,,,,,,,,,2,,,65.0°C,No,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Desktop,E6800,End of Interactive Support,Q3'10,45 nm,$93.00 ,2,,3.33 GHz,,2 MB SmartCache,1066 MHz FSB,65 W,No,,,,,,,,,,,,,,,,,,,,,74.1°C,No,Yes,Yes,64-bit,"SSE2, SSE3, SSSE3",Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,,130 nm,N/A,1,,1.20 GHz,,1 MB L2,400 MHz FSB,12 W,No,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Mobile,730,End of Interactive Support,,90 nm,N/A,1,,1.60 GHz,,2 MB L2,533 MHz FSB,27 W,No,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,Yes
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,,250 nm,N/A,1,,600 MHz,,512 KB L2,133 MHz FSB,34.5 W,No,,,,,,,,,,,,,,,,,,,,,85°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,Q1'00,180 nm,N/A,1,,600 MHz,,256 KB L2,100 MHz FSB,19.5 W,Yes,,,,,,,,,,,,,,,,,,,,,82°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Desktop,960,End of Interactive Support,Q2'06,65 nm,$316.00 ,2,,3.60 GHz,,4 MB L2,800 MHz FSB,130 W,No,,,,,,No,,,,,,,,,,,,,,,"C1=68.6°C, D0=63.4°C ",No,Yes,Yes,64-bit,,Yes,No,,Yes
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,Q1'04,90 nm,N/A,1,,3.20 GHz,,1 MB L2,800 MHz FSB,103 W,No,,,,,,,,,,,,,,,,,,,,,73.5°C,Yes,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Desktop,662,End of Interactive Support,Q4'05,90 nm,N/A,1,,3.60 GHz,,2 MB L2,800 MHz FSB,115 W,No,,,,,,,,,,,,,,,,,,,,,70.8°C,Yes,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Desktop,530,End of Interactive Support,Q2'04,90 nm,N/A,1,,3.00 GHz,,1 MB L2,800 MHz FSB,84 W,No,,,,,,,,,,,,,,,,,,,,,67.7°C,Yes,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Desktop,519K,End of Interactive Support,Q4'04,90 nm,N/A,1,,3.06 GHz,,1 MB L2,533 MHz FSB,84 W,Yes,,,,,,,,,,,,,,,,,,,,,67.7°C,,No,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,Q1'02,130 nm,N/A,1,,2.80 GHz,,512 KB L2,533 MHz FSB,68.4 W,Yes,,,,,,,,,,,,,,,,,,,,,70°C,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,,130 nm,N/A,1,,1.80 GHz,,512 KB L2,400 MHz FSB,68.1 W,Yes,,,,,,,,,,,,,,,,,,,,,77°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,,180 nm,N/A,1,,850 MHz,,256 KB L2,100 MHz FSB,27.5 W,Yes,,,,,,,,,,,,,,,,,,,,,100°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,,130 nm,N/A,1,,866 MHz,,512 KB L2,133 MHz FSB,19.5 W,Yes,,,,,,,,,,,,,,,,,,,,,100°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,,130 nm,N/A,1,,1.90 GHz,,512 KB L2,400 MHz FSB,32 W,No,,,,,,,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Desktop,G860T,End of Life,Q2'12,32 nm,N/A,2,2,2.60 GHz,,3 MB SmartCache,5 GT/s DMI,35 W,No,,32 GB,DDR3 1066/1333,2,21 GB/s,,,650 MHz,1.10 GHz,,,,,,,,,2,,,65.0°C,No,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Mobile,B940,Launched,Q2'11,32 nm,N/A,2,2,2.00 GHz,,2 MB L3,,35 W,No,Yes,16 GB,DDR3 1066/1333,2,21.3 GB/s,No,,650 MHz,1.10 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,85 C,No,No,Yes,64-bit,SSE4.x,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Desktop,G632,End of Life,Q3'11,32 nm,N/A,2,2,2.70 GHz,,3 MB SmartCache,5 GT/s DMI,65 W,No,,32 GB,DDR3 1066,2,17 GB/s,,,850 MHz,1.10 GHz,,,,,,,,,2,,,69.1°C,No,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,,,N/A,1,,400 MHz,,256 KB L2,66 MHz FSB,13.1 W,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,Q2'03,130 nm,N/A,1,,1.10 GHz,,1 MB L2,400 MHz FSB,12 W,Yes,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,,180 nm,N/A,1,,600 MHz,,256 KB L2,133 MHz FSB,15.8 W,Yes,,,,,,,,,,,,,,,,,,,,,82°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,,250 nm,N/A,1,,550 MHz,,512 KB L2,100 MHz FSB,30.8 W,No,,,,,,,,,,,,,,,,,,,,,80°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Desktop,950,End of Interactive Support,Q1'06,65 nm,$224.00 ,2,,3.40 GHz,,4 MB L2,800 MHz FSB,130 W,No,,,,,,No,,,,,,,,,,,,,,,"C1+D0=63.4°C, B1=68.6°C",No,Yes,Yes,64-bit,,Yes,No,,Yes
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,Q2'04,90 nm,N/A,1,,3.00 GHz,,1 MB L2,800 MHz FSB,89 W,Yes,,,,,,,,,,,,,,,,,,,,,73.5°C,Yes,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Desktop,661,End of Interactive Support,Q1'06,65 nm,N/A,1,,3.60 GHz,,2 MB L2,800 MHz FSB,86 W,No,,,,,,No,,,,,,,,,,,,,,,"B1+C1=69°C, D0=64.4°C ",Yes,No,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Desktop,524,End of Interactive Support,Q2'06,90 nm,N/A,1,,3.06 GHz,,1 MB L2,533 MHz FSB,84 W,Yes,,,,,,,,,,,,,,,,,,,,,67.7°C,Yes,No,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Desktop,519,End of Interactive Support,,90 nm,N/A,1,,3.06 GHz,,1 MB L2,533 MHz FSB,84 W,Yes,,,,,,,,,,,,,,,,,,,,,67.7°C,,No,,32-bit,,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Desktop,520,End of Interactive Support,,90 nm,N/A,1,,2.80 GHz,,1 MB L2,533 MHz FSB,84 W,No,,,,,,,,,,,,,,,,,,,,,67.7°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,,180 nm,N/A,1,,1.80 GHz,,256 KB L2,400 MHz FSB,66.7 W,No,,,,,,,,,,,,,,,,,,,,,78°C,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,,180 nm,N/A,1,,800 MHz,,256 KB L2,100 MHz FSB,25.9 W,Yes,,,,,,,,,,,,,,,,,,,,,100°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,,130 nm,N/A,1,,2.00 GHz,,512 KB L2,400 MHz FSB,32 W,No,,,,,,,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Mobile,B950,End of Life,Q2'11,32 nm,N/A,2,2,2.10 GHz,,2 MB L3,5 GT/s DMI,35 W,No,,16 GB,DDR3 1066/1333,2,21.3 GB/s,No,,650 MHz,1.10 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,85C,No,No,Yes,64-bit,SSE4.x,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Desktop,G870,End of Life,Q2'12,32 nm,$82.00 ,2,2,3.10 GHz,,3 MB SmartCache,5 GT/s DMI,65 W,No,,32 GB,DDR3 1066/1333,2,21 GB/s,,,850 MHz,1.10 GHz,,,,,,,,,2,,16,69.1°C,No,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Desktop,G640,End of Life,Q2'12,32 nm,$64.00 ,2,2,2.80 GHz,,3 MB SmartCache,5 GT/s DMI,65 W,No,,32 GB,DDR3 1066,2,17 GB/s,,,850 MHz,1.10 GHz,,,,,,,,,2,,,69.1°C,No,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,,,N/A,1,,366 MHz,,256 KB L2,66 MHz FSB,13.1 W,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
